xzqz,jzsj,ljqznanx,ljqzzs,jzrq,ljqznvx
3,24时,212,439,3月21日,227
4,24时,211,436,3月20日,225
5,24时,207,432,3月19日,225
2,24时,206,427,3月18日,221
2,24时,204,425,3月17日,221
0,24时,202,423,3月16日,221
2,24时,202,423,3月15日,221
1,24时,200,421,3月14日,221
0,24时,199,420,3月13日,221
0,24时,199,420,3月12日,221
1,24时,199,420,3月11日,221
0,24时,198,419,3月10日,221
0,24时,198,419,3月9日,221
0,24时,198,419,3月8日,221
0,24时,198,419,3月7日,221
1,24时,198,419,3月6日,221
0,24时,198,418,3月5日,220
0,24时,198,418,3月4日,220
0,24时,198,418,3月3日,220
0,24时,198,418,3月2日,220
1,24时,198,418,3月1日,220
0,24时,197,417,2月29日,220
0,24时,197,417,2月28日,220
0,24时,197,417,2月27日,220
0,24时,197,417,2月26日,220
0,24时,197,417,2月25日,220
0,24时,197,417,2月24日,220
0,24时,197,417,2月23日,220
0,24时,197,417,2月22日,220
1,24时,197,417,2月21日,220
0,24时,197,416,2月20日,219
0,24时,197,416,2月19日,219
0,24时,197,416,2月18日,219
1,24时,197,416,2月17日,219
1,24时,196,415,2月16日,219
8,24时,195,414,2月15日,219
6,24时,194,406,2月14日,212
9,24时,192,400,2月13日,208
5,24时,187,391,2月12日,204
11,24时,184,386,2月11日,202
7,24时,178,375,2月10日,197
1,12时,176,369,2月10日,193
4,24时,176,368,2月9日,192
2,12时,175,366,2月9日,191
13,24时,174,364,2月8日,190
3,12时,171,354,2月8日,183
17,24时,170,351,2月7日,181
5,12时,164,339,2月7日,175
20,24时,161,334,2月6日,173
2,12时,150,316,2月6日,166
25,24时,149,314,2月5日,165
2,12时,137,291,2月5日,154
20,24时,137,289,2月4日,152
2,12时,129,271,2月4日,142
43,24时,129,269,2月3日,140
19,12时,116,245,2月3日,129
30,24时,105,226,2月2日,121
11,12时,97,207,2月2日,110
26,24时,91,196,2月1日,105
0,12时,78,170,2月1日,92
60,24时,78,170,1月31日,92
24,12时,64,134,1月31日,70
24,24时,56,110,1月30日,54
12,12时,50,98,1月30日,48
23,24时,44,86,1月29日,42
17,12时,41,80,1月29日,39
14,24时,34,63,1月28日,29
8,12时,29,57,1月28日,28
13,24时,27,49,1月27日,22
9,24时,22,36,1月26日,14
6,24时,20,27,1月25日,7
5,24时,14,20,1月24日,6
0,24时,10,15,1月23日,5
1,24时,10,15,1月22日,5
4,24时,9,14,1月21日,5
8,,7,9,1月20日,2
1,,1,1,1月19日,0
