zz,ljsw,wz,jzsj,ljqzzs,ljcy,dqglzl,jsyxgc,jzrq
1,3,-,24时,439,411,25,190,3月21日
1,3,-,24时,436,410,23,178,3月20日
1,3,1,24时,432,409,20,162,3月19日
1,3,1,24时,427,407,17,147,3月18日
1,3,1,24时,425,403,19,120,3月17日
1,3,2,24时,423,402,18,130,3月16日
1,3,2,24时,423,401,19,124,3月15日
1,3,3,24时,421,399,19,117,3月14日
2,3,3,24时,420,396,21,170,3月13日
2,3,3,24时,420,395,22,160,3月12日
2,3,3,24时,420,392,25,160,3月11日
2,3,3,24时,419,387,29,157,3月10日
2,3,3,24时,419,381,35,153,3月9日
4,3,3,24时,419,373,43,145,3月8日
4,3,3,24时,419,368,48,133,3月7日
4,3,3,24时,419,361,55,97,3月6日
4,3,3,24时,418,358,57,97,3月5日
5,3,3,24时,418,350,65,101,3月4日
5,3,3,24时,418,341,74,102,3月3日
6,3,2,24时,418,332,83,102,3月2日
6,3,2,24时,418,320,95,103,3月1日
5,3,2,24时,417,308,106,61,2月29日
5,3,2,24时,417,299,115,73,2月28日
3,3,4,24时,417,281,133,79,2月27日
4,3,4,24时,417,271,143,96,2月26日
5,3,6,24时,417,262,152,104,2月25日
7,3,6,24时,417,249,165,132,2月24日
5,3,8,24时,417,237,177,159,2月23日
7,3,8,24时,417,226,188,175,2月22日
10,2,9,24时,417,222,193,202,2月21日
10,2,9,24时,416,199,215,232,2月20日
10,2,10,24时,416,182,232,287,2月19日
15,2,9,24时,416,163,251,307,2月18日
22,2,7,24时,416,152,262,359,2月17日
26,2,8,24时,415,131,282,436,2月16日
29,0,9,24时,414,115,299,541,2月15日
29,0,9,24时,406,104,302,522,2月14日
28,0,11,24时,400,94,306,554,2月13日
29,0,12,24时,391,81,310,665,2月12日
30,0,12,24时,386,66,320,850,2月11日
30,0,12,24时,375,56,319,950,2月10日
35,0,12,12时,369,56,313,1104,2月10日
35,0,13,24时,368,46,322,1104,2月9日
35,0,12,12时,366,46,320,1153,2月9日
35,0,12,24时,364,39,325,1153,2月8日
29,0,13,12时,354,39,315,1045,2月8日
29,0,13,24时,351,31,320,1045,2月7日
28,0,13,12时,339,31,308,958,2月7日
32,0,12,24时,334,22,312,958,2月6日
32,0,12,12时,316,21,295,947,2月6日
32,0,12,24时,314,16,298,947,2月5日
32,0,12,12时,291,16,275,878,2月5日
23,0,11,24时,289,13,276,878,2月4日
23,0,10,12时,271,13,258,851,2月4日
19,0,10,24时,269,10,259,904,2月3日
24,0,5,12时,245,10,235,670,2月3日
23,0,9,24时,226,5,221,662,2月2日
24,0,8,12时,207,5,202,670,2月2日
20,0,12,24时,196,5,191,569,2月1日
12,0,9,12时,170,5,165,327,2月1日
12,0,9,24时,170,4,166,327,1月31日
12,0,8,12时,134,4,130,327,1月31日
16,0,8,24时,110,4,106,325,1月30日
16,0,8,12时,98,4,94,325,1月30日
16,0,8,24时,86,4,82,291,1月29日
-,0,-,12时,80,4,-,-,1月29日
-,0,-,24时,63,4,-,-,1月28日
-,0,-,12时,57,4,-,-,1月28日
-,0,-,24时,49,4,-,-,1月27日
-,0,-,24时,36,2,-,-,1月26日
9,0,3,24时,27,2,-,-,1月25日
7,0,3,24时,20,2,-,-,1月24日
8,0,2,24时,15,2,-,-,1月23日
-,0,-,24时,15,0,-,-,1月22日
-,0,-,24时,14,0,-,-,1月21日
4,0,-,,9,0,-,-,1月20日
-,0,1,,1,0,-,-,1月19日
