xh,xzqh,wjwfbsj,xqmc,lon,lat
1,深圳市福田区,3月6日,莲花一村,114.0647634,22.55646042
2,深圳市福田区,2月22日,水围九街,114.0570706,22.52504852
3,深圳市龙岗区,2月16日,佳兆业·中央广场一期,114.0638197,22.65625598
4,深圳市宝安区,2月16日,万科·金色领域一期（宝安大道）,113.8046286,22.65727855
5,深圳市南山区,2月16日,鼎太风华二期,113.9000651,22.51789587
6,深圳市福田区,2月16日,鑫竹苑,114.0062522,22.53392928
7,深圳市宝安区,2月15日,华润万家（宝安店）,113.900095,22.56330525
8,深圳市宝安区,2月15日,宝民社区灶下村,113.8937048,22.56894407
9,深圳市南山区,2月15日,西海明珠,113.9251615,22.53357082
10,深圳市福田区,2月15日,益田村,114.0481107,22.51724201
11,深圳市龙岗区,2月14日,锦航酒店,114.149299,22.60914103
12,深圳市龙岗区,2月14日,百合星城二期,114.1162759,22.59949478
13,深圳市福田区,2月14日,福宁街桐林公寓,114.0736492,22.53503453
14,深圳市福田区,2月14日,新世界·四季山水一期,114.0408003,22.57385431
15,深圳市龙华区,2月13日,花半里,114.2304791,22.72339627
16,深圳市龙华区,2月13日,西头新村四区,114.0117804,22.64492689
17,深圳市宝安区,2月13日,潭头社区四村,113.8427305,22.7532446
18,深圳市宝安区,2月13日,沙井西荟城,113.8121777,22.73477694
19,深圳市坪山区,2月12日,汤坑社区东方丽园,114.3093255,22.67997281
20,深圳市盐田区,2月12日,东海丽景花园,114.2535022,22.59314454
21,深圳市福田区,2月12日,玮鹏花园,114.0895181,22.54486678
22,深圳市龙岗区,2月12日,上木古社区岭根吓,114.1118643,22.66922323
23,深圳市龙岗区,2月12日,新亚洲花园,114.2312887,22.71805746
24,深圳市龙岗区,2月12日,正大时代华庭,114.1765102,22.64970302
25,深圳市宝安区,2月12日,东方社区上头田新村,113.8410188,22.76166631
26,深圳市南山区,2月12日,花园城一期,113.9177447,22.50671115
27,深圳市宝安区,2月11日,金泓凯旋城,113.8936121,22.55058153
28,深圳市南山区,2月11日,御景峰,114.007117,22.60084288
29,深圳市南山区,2月10日12时,珠光村西区,113.9554008,22.5749619
30,深圳市福田区,2月9日12时,海田路1008号雅颂居,114.0615248,22.54649563
31,深圳市福田区,2月9日12时,下沙花好园,114.0202258,22.53112825
32,深圳市福田区,2月9日12时,金地名津,114.0684582,22.51859769
33,深圳市龙岗区,2月9日12时,万科麓城,114.0987957,22.6259927
34,深圳市龙岗区,2月9日12时,金德丰雅居,114.1078908,22.69268699
35,深圳市宝安区,2月9日12时,松岗街道红星村温屋,113.8313433,22.76921131
36,深圳市宝安区,2月9日12时,丽枫酒店（深圳海雅缤纷城店）,113.9014697,22.56083672
37,深圳市南山区,2月9日12时,艺华花园,113.926252,22.55101109
38,深圳市罗湖区,2月9日12时,嘉宝田花园,114.106052,22.56048624
39,深圳市盐田区,2月9日12时,京基洲际度假酒店,114.309816,22.60045235
40,深圳市龙岗区,2月8日12时,全伟达工业园,114.0958081,22.63100978
41,深圳市龙岗区,2月8日12时,杨美社区长坑三区,114.0753403,22.62985256
42,深圳市南山区,2月8日12时,西丽塘朗城,113.9956139,22.59207914
43,深圳市南山区,2月8日12时,水木华庭,113.9753086,22.56549453
44,深圳市南山区,2月8日12时,招商街道沿山路63号,113.9144227,22.50297935
45,深圳市宝安区,2月8日12时,金港华庭,113.8563901,22.58514024
46,深圳市福田区,2月8日12时,新洲牌坊街雅庭精品酒店,114.0408061,22.52884425
47,深圳市罗湖区,2月8日12时,海陇华苑,114.1274442,22.54950701
48,深圳市龙岗区,2月7日24时,华为荔枝苑,114.0692381,22.63641025
49,深圳市龙岗区,2月7日24时,德兴花园德贵苑,114.1060415,22.59236742
50,深圳市南山区,2月7日24时,天鹅湖花园,113.9784138,22.55024463
51,深圳市南山区,2月7日24时,留仙居南A区,113.9457637,22.58468211
52,深圳市宝安区,2月7日24时,永丰社区六区,113.8625345,22.57570544
53,深圳市宝安区,2月7日24时,怀德公元,113.8223632,22.67174902
54,深圳市福田区,2月7日24时,梅林山水居,114.0385687,22.5738537
