xh,xzqh,xqmc,bz,fbsj
1,深圳市福田区,莲花一村,,3月6日
2,深圳市福田区,水围九街,,2月22日
3,深圳市龙岗区,佳兆业·中央广场一期,,2月16日
4,深圳市宝安区,万科·金色领域一期（宝安大道）,,2月16日
5,深圳市南山区,鼎太风华二期,,2月16日
6,深圳市福田区,鑫竹苑,,2月16日
7,深圳市宝安区,华润万家（宝安店）,,2月15日
8,深圳市宝安区,宝民社区灶下村,,2月15日
9,深圳市南山区,西海明珠,,2月15日
10,深圳市福田区,益田村,,2月15日
11,深圳市龙岗区,锦航酒店,,2月14日
12,深圳市龙岗区,百合星城二期,,2月14日
13,深圳市福田区,福宁街桐林公寓,,2月14日
14,深圳市福田区,新世界·四季山水一期,,2月14日
15,深圳市龙华区,花半里,,2月13日
16,深圳市龙华区,西头新村四区,,2月13日
17,深圳市宝安区,潭头社区四村,,2月13日
18,深圳市宝安区,沙井西荟城,,2月13日
19,深圳市坪山区,"汤坑社区东方丽园 ",,2月12日
20,深圳市盐田区,东海丽景花园,,2月12日
21,深圳市福田区,玮鹏花园,,2月12日
22,深圳市龙岗区,上木古社区岭根吓,,2月12日
23,深圳市龙岗区,新亚洲花园,,2月12日
24,深圳市龙岗区,正大时代华庭,,2月12日
25,深圳市宝安区,东方社区上头田新村,,2月12日
26,深圳市南山区,花园城一期,,2月12日
27,深圳市宝安区,金泓凯旋城,,2月11日
28,深圳市南山区,御景峰,,2月11日
29,深圳市南山区,珠光村西区,,2月10日12时
30,深圳市福田区,海田路1008号雅颂居,,2月9日12时
31,深圳市福田区,下沙花好园,,2月9日12时
32,深圳市福田区,金地名津,,2月9日12时
33,深圳市龙岗区,万科麓城,,2月9日12时
34,深圳市龙岗区,金德丰雅居,,2月9日12时
35,深圳市宝安区,松岗街道红星村温屋,,2月9日12时
36,深圳市宝安区,丽枫酒店（深圳海雅缤纷城店）,,2月9日12时
37,深圳市南山区,艺华花园,,2月9日12时
38,深圳市罗湖区,嘉宝田花园,,2月9日12时
39,深圳市盐田区,京基洲际度假酒店,,2月9日12时
40,深圳市龙岗区,全伟达工业园,,2月8日12时
41,深圳市龙岗区,杨美社区长坑三区,,2月8日12时
42,深圳市南山区,西丽塘朗城,,2月8日12时
43,深圳市南山区,水木华庭,,2月8日12时
44,深圳市南山区,招商街道沿山路63号,,2月8日12时
45,深圳市宝安区,金港华庭,,2月8日12时
46,深圳市福田区,新洲牌坊街雅庭精品酒店,,2月8日12时
47,深圳市罗湖区,海陇华苑,,2月8日12时
48,深圳市龙岗区,华为荔枝苑,,2月7日24时
49,深圳市龙岗区,德兴花园德贵苑,,2月7日24时
50,深圳市南山区,天鹅湖花园,,2月7日24时
51,深圳市南山区,留仙居南A区,,2月7日24时
52,深圳市宝安区,永丰社区六区,,2月7日24时
53,深圳市宝安区,怀德公元,,2月7日24时
54,深圳市福田区,梅林山水居,,2月7日24时
55,深圳市罗湖区,松园北街38号大院,,2月7日24时
56,深圳市龙岗区,山厦社区南油花园,,2月6日24时
57,深圳市龙岗区,卓然居,,2月6日24时
58,深圳市龙岗区,家和花园南区,,2月6日24时
59,深圳市龙岗区,远洋新干线君域花园,,2月6日24时
60,深圳市龙岗区,鼎尚华庭,,2月6日24时
61,深圳市龙岗区,雪象花园新村,,2月6日24时
62,深圳市龙岗区,禾坪岗禾坪路5号,,2月6日24时
63,深圳市南山区,水木丹华,,2月6日24时
64,深圳市南山区,大磡1村,,2月6日24时
65,深圳市南山区,万科云城一期,,2月6日24时
66,深圳市南山区,汉庭优佳酒店（西丽地铁站店）,,2月6日24时
67,深圳市宝安区,松新石岗大楼,,2月6日24时
68,深圳市宝安区,福中福幸福海岸,,2月6日24时
69,深圳市宝安区,鸿景园,,2月6日24时
70,深圳市宝安区,一尚领航优品酒店,,2月6日24时
71,深圳市福田区,新洲花园,,2月6日24时
72,深圳市福田区,金地香蜜山,,2月6日24时
73,深圳市福田区,下沙村四坊,,2月6日24时
74,深圳市罗湖区,东方颐园,,2月6日24时
75,深圳市罗湖区,天景花园,,2月6日24时
76,深圳市光明区,玉律村一区,,2月6日24时
77,深圳市南山区,诺德假日花园,,2月5日24时
78,深圳市南山区,东方花园,,2月5日24时
79,深圳市南山区,海景嘉途酒店,,2月5日24时
80,深圳市南山区,雷公岭村,,2月5日24时
81,深圳市南山区,海淮路与海天一路交界处工地生活区,,2月5日24时
82,深圳市龙岗区,布吉海心汇福园,,2月5日24时
83,深圳市龙岗区,吉信街如家酒店,,2月5日24时
84,深圳市龙岗区,和磡村和磡路3号,,2月5日24时
85,深圳市福田区,香格里拉大酒店,,2月5日24时
86,深圳市福田区,御锦公馆,,2月5日24时
87,深圳市宝安区,荣泰园,,2月5日24时
88,深圳市光明区,横岭新村,,2月5日24时
89,深圳市福田区,香山美树苑,,2月4日24时
90,深圳市福田区,下梅林河背村,,2月4日24时
91,深圳市福田区,东海国际公寓,,2月4日24时
92,深圳市福田区,园中花园,,2月4日24时
93,深圳市南山区,大冲新城花园,,2月4日24时
94,深圳市南山区,南光花园,,2月4日24时
95,深圳市南山区,恒立心海湾花园,,2月4日24时
96,深圳市罗湖区,海鹰大厦,,2月4日24时
97,深圳市罗湖区,鸿翔花园,,2月4日24时
98,深圳市龙华区,观湖街道观壹城,,2月4日24时
99,深圳市龙华区,民治街道锦绣江南,,2月4日24时
100,深圳市宝安区,新安街道灵芝新村,,2月4日24时
101,深圳市龙岗区,嶂背步行街,,2月4日24时
102,深圳市坪山区,东纵路6-3号,,2月4日24时
103,深圳市福田区,新世界伟瑞酒店,,2月3日24时
104,深圳市福田区,福滨新村,,2月3日24时
105,深圳市福田区,福祥街2号1栋,,2月3日24时
106,深圳市福田区,梅林街道兰江山第,,2月3日24时
107,深圳市福田区,益田村,,2月3日24时
108,深圳市福田区,景田北景龙大厦,,2月3日24时
109,深圳市罗湖区,翠华花园,,2月3日24时
110,深圳市罗湖区,泥岗西路自来水公司大院,,2月3日24时
111,深圳市罗湖区,合正荣悦府,,2月3日24时
112,深圳市罗湖区,梧桐山社区赤水洞村,,2月3日24时
113,深圳市罗湖区,百仕达花园5期,,2月3日24时
114,深圳市罗湖区,大望社区新田村,,2月3日24时
115,深圳市宝安区,海华社区自由北小区,,2月3日24时
116,深圳市宝安区,松茂·御龙湾,,2月3日24时
117,深圳市宝安区,深航幸福花园,,2月3日24时
118,深圳市宝安区,塘尾社区蚝二佳仕泰科技园宿舍,,2月3日24时
119,深圳市龙岗区,桂芳园八期,,2月3日24时
120,深圳市龙岗区,中骏四季阳光一期,,2月3日24时
121,深圳市龙岗区,平湖山厦社区梨头廖,,2月3日24时
122,深圳市龙岗区,招商依山郡,,2月3日24时
123,深圳市南山区,白石洲东四坊,,2月3日24时
124,深圳市南山区,登良花园,,2月3日24时
125,深圳市光明区,传麒山,,2月3日24时
126,深圳市龙华区,观澜街道库坑中心区,,2月3日24时
