NO,REGION_CODE,TELPHONE_NUMBER,ORGAN_CODE,ORGAN_POSTCODE,ORGAN_GRADE_CODE,latitude1,ORGAN_TYPE_CODE,ORGAN_NAME,ORGAN_PLACE_CODE,latitude2,longitude2,ORGAN_ADDRESS,longitude1,REGION_NAME,ECONOMY_TYPE_CODE,category,ORGAN_EMAIL
1,440306,"137****8870",319583850,518000,9,113.903189,A100,南方医科大学深圳医院,440306001,,,深圳市宝安区新湖路1333号,22.550507,宝安区,11,综合医院,-
2,440306,27791111,PDY610192,518102,9,113.858685,A100,深圳恒生医院,440306003,,,深圳市宝安区西乡街道银田路20号,22.582857,宝安区,17,综合医院,-
3,440306,0755-27396163,455834765,518103,2,113.825091,A100,深圳市宝安区福永人民医院,440306004,,,宝安区福永街道德丰路81号,22.676656,宝安区,11,综合医院,-
4,440306,0755-27863999,455769035,518102,2,113.883182,G100,深圳市宝安区妇幼保健院,440306001,,,深圳市宝安区新安街道玉律路56号,22.568263,宝安区,11,妇幼保健院,-
5,440306,0755-27788311,455834757,518101,3,113.919863,A100,深圳市宝安区人民医院,440306001,,,深圳市宝安区新安街道龙井二路118号,22.568867,宝安区,11,综合医院,-
6,440306,0755-27760217,45576965X,518108,1,113.947628,A100,深圳市宝安区石岩人民医院,440306008,,,深圳市宝安区石岩街道吉祥路11号,22.683969,宝安区,11,综合医院,-
7,440306,0755-27717273,455769668,518105,2,113.846915,A100,深圳市宝安区松岗人民医院,440306006,,,深圳市宝安区松岗街道沙江路2号,22.782452,宝安区,11,综合医院,"SZSGYY@PUBLIC.SHENZHENPTT"
8,440306,0755-27956611,455849182,518102,2,113.886777,A100,"深圳市宝安区中心医院(原西乡人民医院)",440306003,,,深圳市宝安区西乡街道广深路西乡段233号,22.586349,宝安区,11,综合医院,-
9,440306,0755-27802422,455768235,518133,3,113.905818,A210,深圳市宝安中医院,440306001,,,深圳市宝安区裕安二路25号,22.578125,宝安区,11,"中医(综合)医院",-
10,440306,0755-27728595,455769684,518104,2,113.812326,A100,"深圳市中西医结合医院(原宝安区沙井人民医院)",440306005,,,宝安区沙井街道沙井大街3号,22.738609,宝安区,11,综合医院,-
